date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-09-07 04:09:48,10923843,5F31ES034972-02,F31,Prenatal exposure to phthalates and associations with gestational weight gain and fetal growth trajectories.,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-13 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-06-15 04:06:23,10875397,5F30CA257768-04,F30,Targeting Neuron-Microglia Interactions at the Margin of Glioma,COLUMBIA UNIVERSITY HEALTH SCIENCES,2021-06-15 12:06:00,2025-03-12 12:03:00,2025-06-14 12:06:00,2024-06-15 12:06:00,2025-03-12 12:03:00,2025-06-14 12:06:00,53974,53974,0
2024-07-06 04:07:38,10888185,5F31NS129199-03,F31,Regulation and function of mitochondrial motility in neurons in vivo,COLUMBIA UNIV NEW YORK MORNINGSIDE,2022-07-01 12:07:00,2025-03-12 12:03:00,2025-06-30 12:06:00,2024-07-01 12:07:00,2025-03-12 12:03:00,2025-06-30 12:06:00,48123,48123,0
2024-07-06 04:07:38,11001043,1F31MH138075-01,F31,Intersectional Discrimination and Sexual Health Among Young Black Men who Have Sex with Men: A Mixed Methods Study,DUKE UNIVERSITY,2024-07-01 12:07:00,2025-03-12 12:03:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-03-12 12:03:00,2025-06-30 12:06:00,42014,42014,0
2024-09-21 04:09:10,10902095,5F30DK129008-04,F30,Adipocyte-derived exosomes in macrophage regulation,COLUMBIA UNIVERSITY HEALTH SCIENCES,2021-09-15 12:09:00,2025-03-12 12:03:00,2025-09-14 12:09:00,2024-09-15 12:09:00,2025-03-12 12:03:00,2025-09-14 12:09:00,53974,53974,0
2024-04-20 04:04:51,10809777,5F32EY033654-03,F32,Fast and Flexible Conjunction Coding in Biological and Artificial Vision,COLUMBIA UNIV NEW YORK MORNINGSIDE,2022-04-16 12:04:00,2025-03-12 12:03:00,2025-04-15 12:04:00,2024-04-16 12:04:00,2025-03-12 12:03:00,2025-04-15 12:04:00,74284,74284,0
2024-08-12 06:08:53,10867417,5F32AA029957-03,F32,Understanding the individual and combined impact of childhood sexual abuse and minority stress on hazardous drinking among sexual minority women: Is emotion dysregulation a key factor?,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-08-01 12:08:00,2025-03-12 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-03-12 12:03:00,2025-07-31 12:07:00,78892,78892,0
2024-08-26 11:08:21,10997294,1F31MD019521-01A1,F31,A multi-level study of the link between fear of deportation and mental health in Latinx young adults: The role of systemic inflammation and related risk and protective factors,UNIVERSITY OF HOUSTON,2024-09-01 12:09:00,2025-03-12 12:03:00,2027-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,36978,36978,0
2025-02-01 04:02:27,11031960,5F32MH135634-02,F32,The psychological underpinnings of gender disparities in adolescent mental health,PRINCETON UNIVERSITY,2024-02-01 12:02:00,2025-03-12 12:03:00,2027-01-31 12:01:00,2025-02-01 12:02:00,2025-03-12 12:03:00,2026-01-31 12:01:00,73828,73828,0
2024-09-07 04:09:48,10906795,5F30AG074618-04,F30,Alzheimer's Disease Genetic Risk and Microglial Innate Immune Memory,COLUMBIA UNIVERSITY HEALTH SCIENCES,2021-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,53974,53974,0
2024-09-07 04:09:48,10908296,5F31AA031193-02,F31,Examining Individuals' Exposure to Alcohol Environments Using Novel Responsive Buffers,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-09-07 04:09:48,10908411,5F31DE031970-03,F31,Transcriptional regulation of progenitor cell fate in craniofacial ligament regeneration,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,49774,49774,0
2024-09-07 04:09:48,10909146,5F31AG079601-03,F31,Mechanisms underlying the effects of time-restricted feeding on lipid metabolism,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-09-07 04:09:48,10914666,5F31HD105405-04,F31,Understanding and Controlling the Cellular Forces that Coordinate Epithelial Tissue Morphogenesis,COLUMBIA UNIV NEW YORK MORNINGSIDE,2021-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-09-07 04:09:48,10915420,5F31AG079627-02,F31,Data-Driven Discovery of Heterogeneous Treatment Effects of Statin Use on Dementia Risk,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,48214,48214,0
2024-09-07 04:09:48,11105757,5F31HD110257-02,F31,Does self-reported psychosocial stress in pregnancy mediate the association between maternal race/ethnicity and hypertensive disorders of pregnancy?,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,2024-09-01 12:09:00,2025-03-12 12:03:00,2025-08-31 12:08:00,48214,48214,0
2024-06-01 04:06:40,10822586,1F31AI178878-01A1,F31,Epidemiological factors related to human monkeypox virus (MPOX) in men who have sex with men (MSM) in the United States,JOHNS HOPKINS UNIVERSITY,2024-06-01 12:06:00,2025-03-10 12:03:00,2026-05-31 12:05:00,2024-06-01 12:06:00,2025-03-10 12:03:00,2025-05-31 12:05:00,48974,48974,0
2024-08-17 04:08:08,10827871,5F31CA275239-02,F31,The Immunomodulatory Effects of Nrf2 Activation on Macrophages in the Lung Tumor Microenvironment,MICHIGAN STATE UNIVERSITY,2023-08-16 12:08:00,2025-03-02 12:03:00,2025-05-15 12:05:00,2024-08-16 12:08:00,2025-03-02 12:03:00,2025-05-15 12:05:00,26124,39060,-12936
